Frame,Time,PELO_X,PELO_Y,PELO_Z,PELP_X,PELP_Y,PELP_Z,LKJC_X,LKJC_Y,LKJC_Z,LHJC_X,LHJC_Y,LHJC_Z,LAJC_X,LAJC_Y,LAJC_Z,RHJC_X,RHJC_Y,RHJC_Z,RKJC_X,RKJC_Y,RKJC_Z,RAJC_X,RAJC_Y,RAJC_Z,LTOO_X,LTOO_Y,LTOO_Z,RTOO_X,RTOO_Y,RTOO_Z,TRXO_X,TRXO_Y,TRXO_Z,TRXP_X,TRXP_Y,TRXP_Z
30,0.3,179.398483276367,-3496.93579101562,828.250793457031,183.744125366211,-3452.53369140625,953.094909667969,117.74267578125,-3622.91455078125,487.647430419922,113.392395019531,-3501.72631835938,832.040832519531,142.941650390625,-3791.95556640625,87.833381652832,245.404495239258,-3492.14501953125,824.460571289062,0,0,0,0,0,0,104.071228027344,-3651.50610351562,52.3662452697754,0,0,0,155.514297485352,-3374.04760742188,1319.76953125,166.659225463867,-3376.21630859375,1122.38488769531
31,0.31,181.377593994141,-3482.6728515625,827.374328613281,183.969696044922,-3439.2958984375,952.626708984375,117.959182739258,-3613.38647460938,486.747467041016,115.351379394531,-3487.78173828125,830.299438476562,142.588516235352,-3790.458984375,90.3317413330078,247.403747558594,-3477.56420898438,824.449157714844,0,0,0,0,0,0,104.255836486816,-3650.71997070312,51.6226348876953,0,0,0,156.082366943359,-3360.61547851562,1318.01501464844,167.360168457031,-3363.07885742188,1120.61743164062
32,0.32,183.453689575195,-3468.08642578125,826.625549316406,184.297317504883,-3425.72045898438,952.247497558594,118.050109863281,-3603.3662109375,485.882171630859,117.422798156738,-3473.53979492188,828.698120117188,142.124374389648,-3788.76831054688,93.2703323364258,249.484573364258,-3462.63305664062,824.552734375,0,0,0,0,0,0,104.343246459961,-3649.98950195312,50.7504730224609,0,0,0,156.766983032227,-3346.92944335938,1316.47009277344,168.142715454102,-3349.67700195312,1119.07214355469
33,0.33,185.590423583984,-3453.2255859375,825.988342285156,184.749710083008,-3411.81323242188,951.927978515625,117.991928100586,-3592.74609375,485.032897949219,119.570198059082,-3459.04296875,827.251403808594,141.526657104492,-3786.7314453125,96.6725845336914,251.610641479492,-3447.40698242188,824.725341796875,0,0,0,0,0,0,104.330642700195,-3649.25366210938,49.6506118774414,0,0,0,157.562683105469,-3333.00341796875,1315.15588378906,169.001892089844,-3336.01440429688,1117.77075195312
34,0.34,187.754180908203,-3438.14111328125,825.454162597656,185.339126586914,-3397.59252929688,951.654113769531,117.767524719238,-3581.3994140625,484.171539306641,121.758102416992,-3444.33447265625,825.972290039062,140.783432006836,-3784.18481445312,100.561172485352,253.750228881836,-3431.94702148438,824.935974121094,0,0,0,0,0,0,104.228805541992,-3648.46508789062,48.2273788452148,0,0,0,158.461471557617,-3318.85278320312,1314.087890625,169.930953979492,-3322.09912109375,1116.72924804688
35,0.35,189.915374755859,-3422.8896484375,825.02197265625,186.066711425781,-3383.0947265625,951.426086425781,117.36775970459,-3569.1845703125,483.262084960938,123.953689575195,-3429.45849609375,824.873107910156,139.894577026367,-3780.95385742188,104.955787658691,255.876983642578,-3416.32080078125,825.1708984375,0,0,0,0,0,0,104.062896728516,-3647.60009765625,46.408878326416,0,0,0,159.452590942383,-3304.49780273438,1313.27868652344,170.920822143555,-3307.9443359375,1115.96044921875
36,0.36,192.047775268555,-3407.53173828125,824.698120117188,186.923431396484,-3368.37255859375,951.255554199219,116.793037414551,-3555.9541015625,482.264587402344,126.126792907715,-3414.45971679688,823.964477539062,138.872131347656,-3776.85400390625,109.870506286621,257.968688964844,-3400.60278320312,825.431823730469,0,0,0,0,0,0,103.871810913086,-3646.64819335938,44.1730270385742,0,0,0,160.522796630859,-3289.96240234375,1312.73510742188,171.960601806641,-3293.56958007812,1115.4716796875
37,0.37,194.127105712891,-3392.12866210938,824.494750976562,187.891754150391,-3353.490234375,951.162231445312,116.053993225098,-3541.56420898438,481.139617919922,128.248794555664,-3399.38305664062,823.256530761719,137.740585327148,-3771.6962890625,115.311019897461,260.005401611328,-3384.8740234375,825.732971191406,0,0,0,0,0,0,103.706260681152,-3645.59887695312,41.582950592041,0,0,0,161.656524658203,-3275.27368164062,1312.45959472656,173.037124633789,-3279.00073242188,1115.26538085938
38,0.38,196.130950927734,-3376.74682617188,824.427062988281,188.947860717773,-3338.52392578125,951.17041015625,115.171882629395,-3525.8876953125,479.854278564453,130.292846679688,-3384.27490234375,822.757873535156,136.536682128906,-3765.29370117188,121.272842407227,261.968994140625,-3369.21850585938,826.096069335938,0,0,0,0,0,0,103.622161865234,-3644.41186523438,38.8166770935059,0,0,0,162.836166381836,-3260.46264648438,1312.44995117188,174.135681152344,-3264.27001953125,1115.33911132812
39,0.39,198.037139892578,-3361.451171875,824.5107421875,190.064041137695,-3323.55249023438,951.30419921875,114.177528381348,-3508.82373046875,478.387969970703,132.232879638672,-3369.18188476562,822.475708007812,135.307540893555,-3757.4697265625,127.739204406738,263.841369628906,-3353.71948242188,826.545776367188,0,0,0,0,0,0,103.671165466309,-3642.96411132812,36.1839256286621,0,0,0,164.042404174805,-3245.56127929688,1312.69873046875,175.240112304688,-3249.41284179688,1115.68518066406
