Frame	Time	PELO_X	PELO_Y	PELO_Z	PELP_X	PELP_Y	PELP_Z	LKJC_X	LKJC_Y	LKJC_Z	LHJC_X	LHJC_Y	LHJC_Z	LAJC_X	LAJC_Y	LAJC_Z	RHJC_X	RHJC_Y	RHJC_Z	RKJC_X	RKJC_Y	RKJC_Z	RAJC_X	RAJC_Y	RAJC_Z	LTOO_X	LTOO_Y	LTOO_Z	RTOO_X	RTOO_Y	RTOO_Z	TRXO_X	TRXO_Y	TRXO_Z	TRXP_X	TRXP_Y	TRXP_Z
14	0.14	174.331543	-3676.183838	861.1530151	179.5431976	-3634.407471	986.8671265	114.2896805	-3737.75415	500.4306946	108.1860504	-3678.862305	864.5753174	0	0	0	240.4770355	-3673.505615	857.7304077	0	0	0	0	0	0	0	0	0	0	0	0	161.3140411	-3555.362305	1354.240234	167.4357605	-3555.685547	1158.006104
15	0.15	173.5712891	-3666.408203	859.1168823	179.5519104	-3623.890137	984.5477295	114.312912	-3732.370361	500.1742859	107.4556808	-3669.191406	863.0024414	0	0	0	239.6868439	-3663.625	855.2312622	0	0	0	0	0	0	0	0	0	0	0	0	160.2593079	-3545.554443	1352.71875	166.7513428	-3545.937744	1156.405518
16	0.16	172.8352203	-3656.68042	856.8942871	179.6825409	-3613.3479	982.0016479	114.3362274	-3726.724121	499.8247681	106.7556839	-3659.551758	861.2947388	0	0	0	238.9147186	-3653.80835	852.4938354	0	0	0	0	0	0	0	0	0	0	0	0	159.2837219	-3535.602783	1351.025757	166.141449	-3536.015137	1154.629761
17	0.17	172.1499786	-3646.947266	854.5157471	179.9242401	-3602.755127	979.2678223	114.3641205	-3720.825195	499.3780518	106.1125793	-3649.895508	859.4639282	0	0	0	238.1873322	-3643.998535	849.5672607	0	0	0	0	0	0	0	0	0	0	0	0	158.388504	-3525.489502	1349.173828	165.6100769	-3525.90918	1152.692261
18	0.18	171.5468445	-3637.153564	852.019165	180.2597198	-3592.092041	976.397583	114.4040985	-3714.685059	498.8322144	105.5565796	-3640.171143	857.5230713	0	0	0	237.5370941	-3634.135986	846.5152588	0	0	0	0	0	0	0	0	0	0	0	0	157.5756989	-3515.201172	1347.177246	165.1603394	-3515.616211	1150.608154
19	0.19	171.0592194	-3627.241211	849.4502563	180.6652222	-3581.342041	973.4561768	114.4660797	-3708.312988	498.1878967	105.1186371	-3630.324707	855.4869385	0	0	0	236.9998016	-3624.156738	843.413269	0	0	0	0	0	0	0	0	0	0	0	0	156.8479156	-3504.722168	1345.052979	164.7950592	-3505.132813	1148.39502
20	0.2	170.7202606	-3617.150391	846.8584595	181.1125031	-3570.48999	970.5162964	114.5610886	-3701.716309	497.4487915	104.8282776	-3620.301514	853.3719482	0	0	0	236.6122589	-3613.998291	840.3447876	0	0	0	0	0	0	0	0	0	0	0	0	156.2084351	-3494.041016	1342.817993	164.5162964	-3494.457275	1146.070679
21	0.21	170.5606537	-3606.824463	844.2955322	181.5710754	-3559.522461	967.6557007	114.6999893	-3694.899658	496.6219482	104.7116241	-3610.049561	851.1956787	0	0	0	236.4096985	-3603.598633	837.3951416	0	0	0	0	0	0	0	0	0	0	0	0	155.6609497	-3483.14624	1340.493286	164.3262482	-3483.588623	1143.657837
22	0.22	170.6065369	-3596.209473	841.8114014	182.0115356	-3548.425049	964.9497681	114.8916855	-3687.864014	495.7180481	104.7900543	-3599.518799	848.977417	0	0	0	236.4230347	-3592.900146	834.6453857	0	0	0	0	0	0	0	0	0	0	0	0	155.2093506	-3472.027588	1338.101074	164.2254333	-3472.524414	1141.179443
23	0.23	170.8783569	-3585.258301	839.4518433	182.4090271	-3537.18335	962.465332	115.1415939	-3680.609375	494.7511902	105.0799179	-3588.665283	846.7367554	0	0	0	236.6767273	-3581.850098	832.166687	0	0	0	0	0	0	0	0	0	0	0	0	154.8576355	-3460.674805	1335.665405	164.2150879	-3461.260986	1138.660889
