Time	FP1_COP_X	FP1_COP_Y	FP1_COP_Z	FP1_Force_X	FP1_Force_Y	FP1_Force_Z	FP2_COP_X	FP2_COP_Y	FP2_COP_Z	FP2_Force_X	FP2_Force_Y	FP2_Force_Z	FP3_COP_X	FP3_COP_Y	FP3_COP_Z	FP3_Force_X	FP3_Force_Y	FP3_Force_Z	FP4_COP_X	FP4_COP_Y	FP4_COP_Z	FP4_Force_X	FP4_Force_Y	FP4_Force_Z
0.01	198.8394985	300.4071309	0.055875517	0.010853263	0.007066366	0.165961626	202.9003485	-304.3649962	-0.079582736	0	0	0	207.6431961	-1058.390015	0.07703156	0	0	0	-199.6690236	-305.4222603	-0.130891889	0.050846947	-0.022279569	-0.203266486
0.010998727	198.8394985	300.4071309	0.055875517	0.010853263	0.007066366	0.165961626	202.9003485	-304.3649962	-0.079582736	0	0	0	207.6431961	-1058.390015	0.07703156	0	0	0	-199.6690236	-305.4222603	-0.130891889	0.050846947	-0.022279569	-0.203266486
0.011997454	198.8394985	300.4071309	0.055875517	0.010853263	0.007066366	0.165961626	202.9003485	-304.3649962	-0.079582736	0	0	0	207.6431961	-1058.390015	0.07703156	0	0	0	-199.6690236	-305.4222603	-0.130891889	0.050846947	-0.022279569	-0.203266486
0.012996181	198.8394985	300.4071309	0.055875517	0.010853263	0.007066366	0.165961626	202.9003485	-304.3649962	-0.079582736	0	0	0	207.6431961	-1058.390015	0.07703156	0	0	0	-199.6690236	-305.4222603	-0.130891889	0.050846947	-0.022279569	-0.203266486
0.013994907	198.8394985	300.4071309	0.055875517	0.010853263	0.007066366	0.165961626	202.9003485	-304.3649962	-0.079582736	0	0	0	207.6431961	-1058.390015	0.07703156	0	0	0	-199.6690236	-305.4222603	-0.130891889	0.050846947	-0.022279569	-0.203266486
0.014993634	198.8394985	300.4071309	0.055875517	0.010853263	0.007066366	0.165961626	202.9003485	-304.3649962	-0.079582736	0	0	0	207.6431961	-1058.390015	0.07703156	0	0	0	-199.6690236	-305.4222603	-0.130891889	-1.375156022	0.556350065	4.612246196
0.015992361	198.8394985	300.4071309	0.055875517	0.010853263	0.007066366	0.165961626	202.9003485	-304.3649962	-0.079582736	0	0	0	207.6431961	-1058.390015	0.07703156	0	0	0	-199.6690236	-305.4222603	-0.130891889	0.050846947	-0.022279569	-0.203266486
0.016991088	198.8394985	300.4071309	0.055875517	0.010853263	0.007066366	0.165961626	202.9003485	-304.3649962	-0.079582736	0	0	0	207.6431961	-1058.390015	0.07703156	0	0	0	-199.6690236	-305.4222603	-0.130891889	0.050846947	-0.022279569	-0.203266486
0.017989815	198.8394985	300.4071309	0.055875517	0.010853263	0.007066366	0.165961626	202.9003485	-304.3649962	-0.079582736	0	0	0	207.6431961	-1058.390015	0.07703156	0	0	0	-199.6690236	-305.4222603	-0.130891889	0.050846947	-0.022279569	-0.203266486
0.018988542	198.8394985	300.4071309	0.055875517	0.010853263	0.007066366	0.165961626	202.9003485	-304.3649962	-0.079582736	0	0	0	207.6431961	-1058.390015	0.07703156	0	0	0	-199.6690236	-305.4222603	-0.130891889	0.050846947	-0.022279569	-0.203266486
0.019987268	198.8394985	300.4071309	0.055875517	0.010853263	0.007066366	0.165961626	202.9003485	-304.3649962	-0.079582736	0	0	0	207.6431961	-1058.390015	0.07703156	0	0	0	-199.6690236	-305.4222603	-0.130891889	0.050846947	-0.022279569	-0.203266486
0.020985995	198.8394985	300.4071309	0.055875517	0.010853263	0.007066366	0.165961626	202.9003485	-304.3649962	-0.079582736	0	0	0	207.6431961	-1058.390015	0.07703156	0	0	0	-199.6690236	-305.4222603	-0.130891889	0.050846947	-0.022279569	-0.203266486
0.021984722	198.8394985	300.4071309	0.055875517	0.010853263	0.007066366	0.165961626	202.9003485	-304.3649962	-0.079582736	0	0	0	207.6431961	-1058.390015	0.07703156	0	0	0	-199.6690236	-305.4222603	-0.130891889	0.050846947	-0.022279569	-0.203266486
0.022983449	198.8394985	300.4071309	0.055875517	0.010853263	0.007066366	0.165961626	202.9003485	-304.3649962	-0.079582736	0	0	0	207.6431961	-1058.390015	0.07703156	0	0	0	-199.6690236	-305.4222603	-0.130891889	0.050846947	-0.022279569	-0.203266486
0.023982176	198.8394985	300.4071309	0.055875517	0.010853263	0.007066366	0.165961626	202.9003485	-304.3649962	-0.079582736	0	0	0	207.6431961	-1058.390015	0.07703156	0	0	0	-199.6690236	-305.4222603	-0.130891889	0.050846947	-0.022279569	-0.203266486
0.024980903	198.8394985	300.4071309	0.055875517	0.010853263	0.007066366	0.165961626	202.9003485	-304.3649962	-0.079582736	0	0	0	207.6431961	-1058.390015	0.07703156	0	0	0	-199.6690236	-305.4222603	-0.130891889	0.050846947	-0.022279569	-0.203266486
0.025979629	198.8394985	300.4071309	0.055875517	0.010853263	0.007066366	0.165961626	202.9003485	-304.3649962	-0.079582736	0	0	0	207.6431961	-1058.390015	0.07703156	0	0	0	-199.6690236	-305.4222603	-0.130891889	0.050846947	-0.022279569	-0.203266486
0.026978356	198.8394985	300.4071309	0.055875517	0.010853263	0.007066366	0.165961626	202.9003485	-304.3649962	-0.079582736	0	0	0	207.6431961	-1058.390015	0.07703156	0	0	0	-199.6690236	-305.4222603	-0.130891889	0.050846947	-0.022279569	-0.203266486
0.027977083	198.8394985	300.4071309	0.055875517	0.010853263	0.007066366	0.165961626	202.9003485	-304.3649962	-0.079582736	0	0	0	207.6431961	-1058.390015	0.07703156	0	0	0	-199.6690236	-305.4222603	-0.130891889	0.050846947	-0.022279569	-0.203266486
0.02897581	198.8394985	300.4071309	0.055875517	0.010853263	0.007066366	0.165961626	202.9003485	-304.3649962	-0.079582736	0	0	0	207.6431961	-1058.390015	0.07703156	0	0	0	-199.6690236	-305.4222603	-0.130891889	0.050846947	-0.022279569	-0.203266486
